"%s days","%s dias"
"Access denied!","Acesso negado!"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Para atualizar produto no carrinho de compra <a href='%s'>saia</a> do modo de confirmação de cotação."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Para adicionar produto em modo de compra <a href='%s'>mude de carrinho de compra para modo de compra.</a>"
"TO:","Para:"
"Unable to send email.","Não foi possível enviar seu e-mail."
"Unit price","Preço unitário"
"Unknown exception","Exceção desconhecida"
"View Quote","Veja cotação"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Você está em modo de confirmação de cotação, <a href='%s'>sair</a>."
"You have placed no quotes.","Não há solicitações de cotação ainda."
"You log out successfully from Quote confirmation mode.","Você saiu com sucesso do modo de confirmação de cotação."
"You will receive a quote confirmation email with a link to track progress.","Você receberá um email de confirmação do pedido de cotação com um link para acompanhar o progresso."
"You're welcome to place a new Request for Quote","Você é bem vindo a iniciar uma novo pedido"
"Your order list contains items that cannot quoted.","Sua lista de compra contém produtos que não poderão ser cotados."
"Your quote has been canceled","Seu pedido de cotação foi cancelado"
"Your quote has been received","Seu pedido de cotação foi recebida"
"Your quote list contains items that cannot ordered.","Seu pedido de cotação contém produtos que não poderão ser comprados."
"Your quote request has been received","Seu pedido de cotação foi recebido."
"Your quote request has been submitted successfully.","Seu pedido de cotação foi enviado com sucesso."
"Your shopping cart will be changed to Quote Request if you continue.","Se você continuar seu carrinho de compra será modificado para pedido de cotaçao."
"Zip/Postal Code","Cep"
"Add Qty","Acrescentar"
"enter your address","adicione seu endereço"
"enter your city","adicione cidade"
"enter your Zip","adicione cep"
"enter your state","adicione estado"
"Request a shipping quote","Requerir cotação de frete"
"Total price","Preço total"
"Move to Shopping cart","Mudar para carrinho de compra"
"Move to shopping cart?","Você quer mudar para o carrinho de compra?"
"This quote list contains items that cannot ordered.","Essa cotação contém produtos que não poderão ser comprados."
"This item will be removed from the list if you continue:","Se você continuar, o seguinte produto(s) será removido da lista:"
"Cancel Action","Cancelar"
"Continue Action","Continuar"
"Copy to Quotation","Copiar para cotação"
"Copy to Quotation?","Você quer copiar para cotação?"
"Copy to Quotation","Copiar para cotação"
"Cannot update the item.","Produto não pode ser atualizado."
"Quote item is not found.","Produto cotado não encontrado."
"Cannot configure product.","Produto não pode ser configurado."
"Edit","Editar"
"in process...","em progresso…"
"My Quote", "My Quote"
"My Quote (%s items)", "My Quote (%s items)"
"My Quote (%s item)", "My Quote (%s item)"
"Your quote request # is: %s.", "Your quote request # is: %s."
"Tier/Qty","Tier/Qty"
