"%s days","%s días"
"Access denied!","¡Acceso denegado!"
"Qty","Cantidad"
"Quotation # %s","Presupuesto # %s"
"Quotation #%s - Proposal","Solicitud de presupuesto #%s"
"Quotation #%s was rejected","El presupuesto #%s fue rechazado."
"Quotation Date: %s","Fecha de solicitud de presupuesto: %s"
"Quote","Presupuesto"
"Quote #","Presupuesto #"
"Quote #%s","Presupuesto #%s"
"Quote List","Lista de precios"
"Quote list was updated successfully.","La lista de precios ha sido correctamente actualizada."
"Quote mode","Modo de presupuesto"
"Quote Proposal","Propuesta de presupuesto"
"Quote Request in Process, wait for price proposal Shopowner","La solicitud de presupuesto está en proceso, por favor, espere a recibir la propuesta"
"Quote request information","Información de solicitud de presupuesto"
"Quote shipping proposal from owner","Propuesta de precio de envío"
"Quote Status","Estado del presupuesto"
"Reject Proposal","Rechazar propuesta"
"Remark with Proposal","Comentarios sobre la propuesta"
"Remove","Eliminar"
"Remove item","Eliminar artículo"
"Request for Quote","Solicitud de presupuesto"
"Request information","Comentarios sobre el producto"
"Request quote","Enviar solicitud de presupuesto"
"Requested information","Comentarios sobre el producto"
"Required Fields","Campos requeridos"
"Resubmit Quote","Reenviar presupuesto"
"ship to:","Enviar a"
"Shipping & Handling price per product per Unit","Gastos de envío y manipulación por unidad"
"Shipping & Handling price varies.","Gastos variables de envío y manipulación."
"Shipping Address","Dirección de envío"
"Shipping details","Detalles de envío"
"Shipping Method","Método de envío"
"State/Province","Estado/Provincia"
"Status","Estado"
"STATUS_BEGIN","Comienzo"
"STATUS_CANCELED","Propuesta cancelada"
"STATUS_CONFIRMED","Propuesta aceptada"
"STATUS_ORDERED","ConfigurePedido"
"STATUS_DENIED","Propuesta rechazada"
"STATUS_PROPOSAL","Propuesta enviada"
"STATUS_PROPOSAL_EXPIRED","Propuesta vencida"
"STATUS_PROPOSAL_SAVED","Propuesta grabada"
"STATUS_AUTO_PROPOSAL","Propuesta enviada"
"STATUS_REJECTED","Borrada"
"STATUS_REQUEST","Procesando"
"STATUS_REQUEST_EXPIRED","Solicitud vencida"
"Switch to Order mode","Cambiar a modo de pedido"
"Switch to Quote mode","Cambiar a modo de presupuesto"
"TAX","Impuesto"
"Telephone","Teléfono"
"Tier/Qty","Rango/Cantidad"
"Thank you for your interest!","¡Gracias por su interés!"
"Thanks for your Quote request.","Gracias por su solicitud de presupuesto."
"The address was successfully saved","La dirección ha sido correctamente registrada"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Hay <a href=%s><strong>%s artículos</strong></a> en su lista de precios."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Hay <a href=%s><strong>1 artículo</strong></a> en su lista de precios."
"The following item will not be added to the quotation list if you continue:","El/los siguiente(s) artículo(s) no serán añadidos a la lista de precios si continúa:"
"This order list contains items that cannot quoted.","La lista de pedido contiene artículos que no pueden ser presupuestados."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Para añadir un artículo a la solicitud de presupuesto <a href='%s'>salga</a> del modo de confirmación de presupuesto."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Para añadir un artículo a la solicitud de presupuesto <a href='%s'>cambie el carrito de la compra al modo de presupuesto.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Para añadir un artículo al carrito de la compra <a href='%s'>desconéctese</a> del modo de confirmación de presupuesto."
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Para añadir un artículo al carrito de la compra <a href='%s'>desconéctese</a> del modo de confirmación de presupuesto."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Para añadir un producto al modo de pedido <a href='%s'>cambie el carrito de la compra al modo de pedido.</a>"
"TO:","A:"
"Unable to send email.","Imposible enviar correo electrónico."
"Unit price","Precio unitario"
"Unknown exception","Excepción desconocida"
"View Quote","Ver presupuesto"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Usted está en el modo de confirmación de presupueto, <a href='%s'>desconectarse</a>."
"You have placed no quotes.","Todavía no ha cursado ninguna solicitud de presupuesto."
"You log out successfully from Quote confirmation mode.","Usted se ha desconectado correctamente del modo de confirmación de presupuesto."
"You will receive a quote confirmation email with a link to track progress.","Recibirá un mail de confirmación de presupuesto con un enlace para conocer el estado del mismo."
"You're welcome to place a new Request for Quote","Si quiere puede realizar una nueva solicitud de presupuesto"
"Your order list contains items that cannot quoted.","Su carrito de la compra contiene artículos que no pueden ser presupuestados."
"Your quote has been canceled","Su presupuesto ha sido cancelado"
"Your quote has been received","Su presupuesto ha sido recibido"
"Your quote list contains items that cannot ordered.","Su solicitud de presupuesto contiene artículos que no pueden ser pedidos."
"Your quote request has been received","Su solicitud de presupuesto ha sido recibida"
"Your quote request has been submitted successfully.","Su solicitud de presupuesto ha sido correctamente enviada."
"Your shopping cart will be changed to Quote Request if you continue.","Si continúa, el contenido de su carrito de la compra pasará a una solicitud de presupuesto."
"Your quote request # is: %s.","El código de su solicitud de presupuesto es: %s."
"Zip/Postal Code","Código postal"
"Add Qty","Añadir cantidad"
"enter your address","introduzca su dirección"
"enter your city","introduzca su ciudad"
"enter your Zip","introduzca su código postal"
"enter your state","introduzca su estado"
"Request a shipping quote","Solicitar presupuesto de envío"
"Total price","Precio total"
"Move to Shopping cart","Mover al carrito de la compra"
"Move to shopping cart?","¿Desea moverlo al carrito de la compra?"
"This quote list contains items that cannot ordered.","Esta lista de precios contiene artículos que no pueden ser solicitados."
"This item will be removed from the list if you continue:","Si usted continúa, el/los siguiente(s) artículo(s) serán eliminados de la lista:"
"Cancel Action","Cancelar"
"Continue Action","Continuar"
"Copy to Quotation","Copiar al presupuesto"
"Copy to Quotation?","¿Desea copiarlo al presupuesto?"
"Copy to Quotation","Copiar al presupuesto"
"Cannot update the item.","El artículo no puede ser actualizado."
"Quote item is not found.","No se encuentra el artículo del presupuesto."
"Cannot configure product.","El producto no puede configurarse."
"Edit","Editar"
"in process...","en proceso ..."
"Your quote request # is: %s.", "Your quote request # is: %s."
"Tier/Qty","Tier/Qty"
"Coupon code "%s" is applied","Coupon code "%s" is applied"
"Coupon code "%s" could not be applied","Coupon code "%s" could not be applied"
"Coupon code could not be applied","Coupon code could not be applied"
"-- Select Coupon --","-- Select Coupon --"
"-- Remove Coupon --","-- Remove Coupon --"
"Could not load Coupon Code","Could not load Coupon Code"
"Discount (%s)","Discount (%s)"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"Quote profit","Quote profit"
"'Coupon Type \'%s\' not supported'","'Coupon Type \'%s\' not supported'"
