"STATUS_BEGIN","Comienzo"
"Enable / disable frontend layout update for the category view","Permitir / no permitir la presentación del frontend actualizada para la vista de la categoría"
"Enables Ajax popup when adding product instead of going to the quotation list","Se permite el Ajax popup cuando se añade el producto en lugar de ir a la vista de presupuesto"
"For multiple domains use a semicolon “;” to seperate the license-keys.<br />To upgrade or to buy a licence visit <a href="http://www.cart2quote.com">cart2quote.com</a>","Para dominios múltiples, utilice un punto y coma “;” para separar las claves de licencia.<br />Para ampliar o comprar una licencia, visite <a href="http://www.cart2quote.com">cart2quote.com</a>"
"Current numeral value","Valor numeral actual"
"Pad Length","Longitud de relleno"
"Request reject Template","Plantilla de solicitud rechazada"
"Expire Proposal Template","Plantilla de propuesta vencida"
"Separate by ";"","Separar por ";""
"Use Ajax Add to Quote","Utilice Ajax para añadir al presupuesto"
"Licence key","Clave de licencia"
