sku,weight
BBSP1;45,2.26
PCF744FP5,4
802077,0.019
1199110111,0.115
1199110112,0.125
1199110114,0.118
81933R14,0.688
SM12,1.001
8-1925D,0.78
C5020D,0.108
8111933,0.044
59100R,0.96
59101,1.16
4400013,0.1
4400031,0.1
1701660,17.64
4400400,8.6
4400408,1.256
4400410,2.2
4400417,1
4400424,17.72
4400427,17.06
IB271076,13.64
IB509629,7.511
281,0.01
0-10-601,0.084
0-10-088,0.033
0-10-151,0.046
0-10-189,0.162
0-11-921,0.03
2-11-921,0.048
0-30-686,0.107
0-30-656,0.388
0-30-696,0.14
0-68-010,0.3
P28R,0.28
190,0.95
141,4.12
A4RPFM,2.57
SPA6,1.76
SPA5,1.67
233,2.1
FSCRP80,1.6
FSC160,1.375
FSCTW80,1.72
1283Y,0.404
12079880,0.905
12033784,0.29
12033810,0.291
12081372,0.62
5217798,0.631
A00669,2.239
LFH2210/00,0.671
126011399,0.14
8538,5.396
6667,11.25
8515,5.08
A80117,3.3
A80192,4.8
B80189,6.2
B80277,0.538
C80116,3.3
C80191,4.8
D80276,0.661
E80190,6.2
F80275,0.675
J80119,5.5
K80121,6.2
L80118,5.5
L80281,1.054
M80120,6.2
1235999600,1
FC128920ERA,1
FC1213420ERA,3.45
FC1215020ERA,7
S0793540,0.08
1210024,0.17
1002216,1.04
1202006,0.2
1206008,0.24
1805017,0.14
1002278,0.62
1002279,0.742
1002335,1.16
4603011,4.56
1002433,2.085
2404039,1.23
2001014,0.03
1224008,0.14
8383,1.895
7441,0.16
7444,0.28
UG5575,1.63
GP201A4,0.1
PAK-101A4,0.1
HPF1017,0.1
RM1-2702,0.1
TS41500,0.1
6003201,1.06
6003401,3.6
6500001,1.17
6500501,1.4
6501001,1.4
6501101,1.38
6501901,0.1
6502001,0.1
6502501,0.1
N06173,5
X00956,1.035
A07375,1.08
DF-120ECO-W-EH,0.185
999107995,0.21
999107997,0.206
S0305071,0.131
S0305081,0.122
S0305091,0.08
5200900,0.642
2102411,23.9
2102441,5.52
2102442,6.43
2102463,18.694
R301,1.8
R302,1.9
R303,0.92
R102,1.8
R202,2.336
EX107,2.15
EX108,2.12
EX109,2.12
EX110,2.16
EX111,2.12
EX113,2.126
EX114,2.146
720-P,0.72
B1803003,0.1
B1803004,0.1
S0881180,0.17
S0881260,0.117
S0881280,0.01
S0881560,0.0105
S0811070,0.023
CC493-67912,0.1
4592,1
2007H,0.062
563,0.2
652H,0.63
653FL,0.18
653MT,0.17
654-1RP,0.58
654ML,0.271
654-SN,0.219
655-1RP,0.964
655FL,0.87
655ML,0.44
655MT,0.432
655-SN,0.347
658H,0.783
660-3SSUC,0.333
660N,0.695
671/3,0.045
680-1,0.12
680-2,0.118
680-21,0.08
680-23,0.111
680-3,0.12
680-4,0.115
680-5,0.126
680-8,0.084
680-9,0.007
680-RY2,0.02
6845-SSP,0.442
684ARR1,0.013
686-A1,0.163
686L-GBR,0.02
686L-PGO,0.02
DS100-VP,1.22
R330NAG,0.519
R350,0.818
HG432,0.1
KS0031,6.88
KS0033,1
KS0032,1
20320050,0.055
20320052,0.076
2100982,0.86
2102180,0.4
1595,0.028
1630,0.358
288137245,1
46661528,0.01
LFH 2210,0.671
LFH005,0.151
LFH233,0.09
PFF685E/GBBP2,3.93
58022-06,0.13
93804,1.78
Tc100,4.144
TC100CARDS,1.14
23753,0.74
54810,0.98
54830/54832,1.321
54833/54834,1.201
54835/54837,1.401
56281/28318,0.66
56283/28316,0.66
56285/28322,0.66
56286/28317,0.695
56950/47201-R9,0.08
56951/47203,0.087
56952/47205,0.077
7515207,1.675
1100R,0.41
17024,0.019
2720,0.044
2800 CLO,0.06
2890S,0.117
4030/1533D,0.25
468892,1
8710E,0.29
8812,0.2
8822,0.214
G2000CUV-BB,0.419
G2000CUV-VI,0.4
43002,0.389
OPTIMEII,0.28
PMOUNT,0.38
RMOUNT,0.358
SM200,0.201
HS8,0.07
820911,0.096
829772,0.182
8511,0.03
8513,0.1
8514,0.064
8521,0.077
8523,0.076
89204D/SINGLE,0.04
89214D/SINGLE,0.091
146002,0.255
1952/23,2.681
1954/23,3.575
1957/01,0.05
1957/03,0.1
1957/04,0.047
1957/07,0.05
2200/00,1.32
2419/02,0.116
2432/04,1
24446/04,1
2510/06,1.669
3054/02,1
3054/03,1
3054/19,1
3056/02,1
3056/03,1
5203/19,0.064
5204/39/58,0.6
5227/39/58,1.066
5587/01,3.26
7112/19,0.25
8006,0.278
8052,1.225
8101/19,0.493
8104/23,0.08
8119,0.111
811903,0.04
811907,0.124
813519,0.165
8180/00,0.2
1015-01,4.98
1015-15,4.65
1015-25,4.88
1015-85,4.861
1015-95,4.937
1050-95,4.601
10801055,5.201
1082-00-25,5.4
1082-00-35,5.27
1082-00-95,5.598
1092-00,2.82
1110-00-25,5.325
1110-00-35,5.721
1110-00-95,5.64
1607-00-85,0.038
17430055,4.04
17440055,4.42
17450035,4.76
17450055,4.94
1821-00-95,2.02
3907-00-35,0.96
3912-00-35,1.64
3950-00-30,2.201
3950-99-99,2.187
4191-00-45,0.98
42010001,3.08
62011,0.25
S0189423,0.077
S0190283,0.105
S0037460,0.18
S0037470,0.18
S0037480,0.18
S0037490,0.18
S0705330,0.062
S0705370,0.062
S0767220,0.012
S0767240,0.01
S0881270,0.01
S0881550,0.252
S0881570,0.2455
S0881580,0.22
A315-A,0.108
S520-D,0.14
1101204,0.13
13101201,0.129
-02BXGPNV/103101202,0.151
40101202,0.14
43101201,0.18
43101203,0.18
60101202,0.18
90101201,0.2
90101202,0.2
90101203,0.2
633101201,0.06
633101203,0.12
633300320,0.08
BLG10501,0.18
BLG10502,0.135
BLG10503,0.06
BLG205 01,0.14
BLG205 03,0.149
BLNVBG501/136101201,0.2
BLNVBG503/136101203,0.18
BLNVBG7B,0.2
BLNVGB703/137101203,0.08
BLP5001,0.18
BLP7001,0.18
BLVB501,0.12
BLVB502,0.12
BLVB5L,0.128
BLVB701,0.12
BPGP10RM01,0.12
BPGPF01,0.14
BPGPF02,0.18
BPGPFO3,0.132
BPGPM01,0.14
BPGPM03,0.18
BRG10MBBBG,0.111
BRG10MLLBG,0.1
BXGPN V7 01,0.2
BXGPNV7-03/103101203,0.2
H185SL01,0.04
LS8FBBG,0.1
LS8FLBG,0.1
SWPPF01,0.06
SWPPF03,0.097
V501,0.129
V502,0.12
V503,0.12
V508,0.146
36469-01/32145-01,0.062
260811,0.245
680832/619769,0.03
S0194650,0.04
S0213920,8.75
S0214320,0.06
S0220481,0.07
S0220561,0.06
S0220641,0.001
S0220721,0.073
S0236961,0.1
S0237031,0.06
S0314150,1.002
S0676560,0.15
S0676580,0.141
S0814890,0.0205
156/40,0.09
4218,0.135
4219,0.25
70/40/10,0.202
550,0.84
4529,0.45
4640,1.3
504050,0.044
531366,0.216
5501,0.285
112HBRT,0.01
122HBRT,0.082
2369,0.08
309-3,0.101
309-9,0.087
310CDS9,0.093
310CDSWP4,0.053
316WP8,0.113
356WP4,0.12
356WP6,0.172
364AWP8,0.2
52650BK2,0.06
879435,0.136
S0376440,0.115
S0377960,0.197
S0378750,0.14
S0378760,0.06
S0380240,0.12
2109501,0.432
2111811,0.274
2136101,0.115
2136111,0.113
2136901,0.304
2136911,0.324
913535,0
913551,0.085
913586,0.34
7508629,2.517
7510015,5.18
A00749,8.323
A00768,8.637
CCG0343,2.662
CCK0343,2.56
CCW0321,2.76
CCW0324,3.13
CCW0349,3.131
CCW0350,2.553
CCW1024,6.26
624682,0.3
624764,1
629801,0.296
629874,0.49
630060,0.48
632629,0.32
632630,0.16
49003,0.043
61055,0.06
8506801,0.043
LXB1120/12B,0.178
LXEMT3000,0.204
LXEMT5000,0.271
LXEPMT5000,0.25
LXEPMT8000,0.42
LXG1217T,0.072
LXG1263S,0.041
LXG5IN1,0.014
LXH382,0.145
LXMDT124,0.44
LXO103,0.06
LXON1030,0.041
LXON4525TFM,0.073
LXON6025TFM,0.08
LXON910,0.024
PDBDBC-4,0.026
1900563,8.911
1901925,1
1902211,3.602
1902267,1.07
1902555,8.8
1902556,12.201
30230167,0.012
30230192,12
30234146,2
30530320,0.008
30530321,0.012
32632503,14.36
34438432,0.001
34533943,0.199
34631178,9.6
34633719,7.5
35232027,8.08
QB05142AS,0.247
QB05142CD,0.256
QB05742C,0.86
QBPK9060,1
RB0375,6.646
RB2826,6.42
10390BK,0.62
12335,0.221
16120AS,0.732
17450,1.66
2001007,0.071
2001016,0.284
2001018,1.481
20120041,0.173
2100026,0.194
2100418,0.26
2100593,0.46
2100596,0.244
2101025,0.184
2101031,1.075
2101034,1.245
2101160,0.205
2101177,1.28
2101179,0.98
2101203,0.464
2101204,0.47
2101234,3.24
2102045,1.44
25200,0.396
25201,0.34
25206,0.543
25207,0.54
25224,0.057
25225,0.05
25671,1.36
3000030,5.048
3000047,3.08
3000050,4.056
3000057,0.049
3000058,0.012
3000077,0.602
3000079,0.65
3000103,1.04
50559,4.58
62146,0.136
70621,4.248
70628,2.92
70631,2.96
70632,3
70633,2.86
70634,1.777
70637,2.5
70638,2.5
70639,2.618
70640,2.42
70642,2.64
70670,4.406
70671,4.4
70672,2.42
70673,2.475
70676,0.024
71750,5.2
71751,5.02
71752,5.208
71759,2.442
71762,4.06
71763,2.92
71765,2.8
78041,5.1
78045,3.44
78046,4.02
78141,4.02
78143,4.128
78160,3.428
78161,3.46
78289,0.191
78365,0.56
78650,3.956
78652,3.86
78654,4.074
78655,4.04
78656,4.24
0-10-409,0.022
0-10-418,0.079
1-11-921,0.414
1117,0.049
11314,0.034
364200,0.03
4117 75872,0.24
4750/L1,0.08
4750/L2,0.12
4755,0.153
5030,0.18
56346,0.131
56347,0.06
6012,0.22
70169,0.032
74000,0.083
74046,0.08
78249,0.02
83310,0.054
86621,0.26
86624,0.34
T/64927-BK-2PK,0.056
T2/4817-BK,0.028
T2/50-2 82105,0.027
T4817,0.01
T4850L1 76313,0.028
T4850L2  76373,0.04
T6/4750/2,0.1
668417,0.032
T6/4911-BK-2PK,0.034
T6/4912-BK-2PK,0.004
T6/4913-BK-2PK,0.01
T6/50-BK 81024 PK2,0.03
T6/53-2-2PK,0.051
T6/53-BK-2PK,0.038
T6/56-BK-2PK,0.04
TVC4927,0.023
TVC5460  156326,0.02
VC/4910,0.001
VC/4911 199895,0.04
VC/4912,0.067
VC/4913,0.086
S0110710,0.18
2007A,0.057
2007SP,0.045
2027,0.18
2028B,0.18
2028P,0.189
246,0.259
636-B,0.202
6445-4SSP,0.22
651H,0.46
653-1RP,0.196
653-1T,0.404
653-1YE,0.19
654-12SSUC,0.495
654-1YE,0.567
654RP,0.52
655-1YE,0.965
659YE,0.659
660YE,0.656
670/4U,0.015
675-3SSMX-EU,0.01
683-5CB,0.012
R330-1RPT,0.797
R330-1T,0.799
R330YE,0.401
100007,0.99
100406,0.685
S1183,1.78
S1513,0.41
A01095,9.039
A01096,8.678
532305,0.18
6651933,0.66
8203533,0.1
845,0.111
91-ST,0.02
C5066T6,0.943
C60-ST,0.564
CT5066T6,0.943
E5016C,0.06
E5020D,0.1
X5009D,0.1
90097,0.815
90098,1.07
7442,0.28
7443,0.284
7775,1.1
8394,0.3
8395,0.31
8396,0.33
8397,0.31
451218,3.084
CE012480,2.05
CR140070,0.781
11804,0.909
CDE01453VE,1
CDE1006BW,3.97
CDE1440HW,3.79
CDE1525HW,1
CQP0324BWNW,1
CQP0324HWNW,3.23
CQP0324VENW,3.31
CQW0324BWNW,3.3
CQW0324HWNW,3.22
CQX0324CRNW,3.42
CQX0324DWNW,3.38
CWE1007BW,3.79
CWE1439HW,3.9
CWE1530HW,1
CXN1521CR,3.79
CXN1625DW,3.92
75618/90,0.26
PF75P0B2,0.68
PF835PL2,0.748
PF865PB2,1.785
R54500B2,0.277
ZSPBOARD/Pk4,0.02
ZSPC2160,0.026
ZSPCUTTER,0.024
KS1,0.404
KS2,1.22
PS1070,0.04
298449,0.015
298453,0.02
298473,0.02
225P1,0.22
226P1,0.14
8589,0.02
BRD3AT-45,1
BRFA-45,6.7
BRS-45,1
BSDP5-45,1
BSS-45,1
BUR-45,2.13
ET410/10/2SB,44.323
ET410/10/2SS,1
ET410/19/4SS,1
ET410RFPS,4
ET410SHPS,1
H2910NL-26,15.1
H2910NL-74,1
H3915NL-26,20.9
H3915NL-74,1
159297,0.1
159298,0.1
179127,0.182
419801,0.08
419802,0.12
419804,0.144
A03086,12.638
A03087,15.715
75831,0.455
75839,0.479
A4MEMNF,3.191
A4MEMO,3.28
A4RPF,2.58
A4RPX,2.593
EX100,1.39
EX101,1.4
EX102,1.39
EX103,1.38
EX104,1.38
EX105,1.36
EX106,1.38
EX112,1.38
FSCTWA5,0.768
RE160,1.999
RE4FM,2.4
TWPA4,2.776
TWRE80,3.448
05401/CS54,0.54
8101,0.044
8201,0.109
8301,0.18
8401,0.206
8501,0.314
8601,0.201
8801,0.16
8901,0.11
9101,0.12
9401,0.2
9501,0.13
51099,0.11
51199,0.106
51599,0.01
64001,0.01
64101,0.097
64201,0.119
64301,0.12
64401,0.159
64501,0.285
64601,0.192
64701,0.107
69001,0.131
69201,0.12
69301,0.31
69401,0.127
72090,0.533
73102,0.942
77301,2.464
77501,2.477
89099,0.56
89199,0.116
10057,0.012
10109,0.072
12774,1
14966,0.485
15553,0.3
15554,0.3
150/12.1,0.71
150/12.2,1.074
150/14.1,0.7
150/14.2,1.124
150/17.1,0.73
150/21.1,0.73
150/24.1,0.706
150/27.1,0.71
150/32.1,0.72
150/32.2,1
150/4/16.1,0.7
150/6/12.1,0.698
150/7.1,0.71
150/7/14.1,0.709
150/9.1,0.71
150/9.2,1.096
150FT2,1.095
69/10.1,0.47
69/12.1,0.47
69/14.1,0.48
69/16.1,0.47
69/2/10.1,0.47
69/20.1,0.44
69/3.1,0.47
69/3.2,0.721
69/3/9.1,0.48
69/4.1,0.47
69/4.2,0.704
69/5.1,0.47
69/5.2,0.708
69/6.1,0.48
69/6.2,0.713
69/7.1,0.48
69/7.2,0.706
D540/2/6C,0.73
D540/2/7L,0.74
D540/2/9MB,0.7
SE310,0.634
CS005SAV,0.012
CS006SAV,0.014
env13,0.12
FB019,0.083
FB024,0.086
FB032,0.08
FB041,0.182
FB044,0.113
FB047,0.176
FB060,0.08
FB070,0.178
FB073,0.149
FF071PVC,0.027
FF073PVC,0.08
FF073SAV,0.01
FF091SAV,0.012
FF092SAV,0.006
FF093SAV,0.012
FF094SAV,0.012
FF100SAV,0.003
FF101PVC,0.149
FRA001,0.11
FWC100,1
FWC80,0.098
KS001SAV,0.012
KS002SAV,0.012
KS006SAV,0.012
KS007SAV,0.025
KS008SAV,0.082
KS009PVC,0.184
M002SAV,0.011
M003SAV,0.06
M004SAV,0.008
M005SAV,0.015
M011PVC,0.057
M013SAV,0.011
M014PVC,0.048
M014SAV,0.013
M016SAV,0.028
M025SAV,0.016
NS001,0.037
NS002,0.034
NS003,0.028
NS004,0.08
NS006,0.032
NS007,0.08
NS009,0.011
NS010,0.011
NS011,0.001
NS013,0.007
NS017,0.06
NS019,0.001
NS020,0.016
NS021,0.01
NS022,0.01
NS035,0.004
P085SAV,0.012
P087SAV,0.04
P089PVC,0.045
P089SAV,0.06
P091SAV,0.018
P093,0.001
P097PVC,0.021
P099PVC,0.026
PO85PVC,0.018
SB003SAV,0.012
SB004SAV,0.02
SB012SAV,0.012
SB013SAV,0.012
SB014SAV,0.04
SCPO004,0.018
SP049PVC,0.026
SP049SAV,0.008
SP051PVC,0.04
SP051SAV,0.012
SP055PVC,0.06
SP055SAV,0.032
SP058PVC,0.08
SP058SAV,0.058
SP074SAV,0.019
SP075PVC,0.033
SP075SAV,0.04
SP078PVC,0.106
SP079PVC,0.103
SP0801PLV,0.082
SP081PVC,0.08
SP082PVC,0.14
SP083PVC,0.073
SP110,0.007
SP120PVC,0.06
SP120SAV,0.018
SP121PVC,0.06
SP121SAV,0.022
SP123SAV,0.038
SP124PVC,0.062
SP124SAV,0.019
SP126PVC,0.061
SP126SAV,0.029
SP127SAV,0.02
SPO52PVC,0.03
SPO54SAV,0.08
SPO80PVC,0.104
SPR455/483,0.03
SR40,0.1
WO125SAV,0.005
WO131SAV,0.012
WO132SAV,0.007
WO134SAV,0.186
WO135PVC,0.025
WO135SAV,0.01
WO137PVC,0.016
WO137SAV,0.02
WO142SAV,0.006
WO143PVC,0.012
WO143SAV,0.012
A23013,2.82
A26310,5.841
A28113,3
B26526,8.16
B27166,2.98
B27326,4.4
B27713,6.308
B28513,5.52
C20719,2.5
C20911,1
C26803,3.32
C27013,5.7
C27603,3.02
C27726,6.48
D23703,4.76
D25311,4.763
E20291,2.375
E22211,4.616
E23513,3.766
E26503,3.92
E27266,2.79
E27303,5.8
F24203,5.566
F26903,4.36
F27666,0.64
F27826,4.8
H23213,3.726
H26211,3.42
H26326,7.162
H27126,8.402
H28313,4.016
J26312,4.104
J26339,5.812
J27219,11.11
J27366,2.74
J27403,9.09
J27526,1
J28203,3.39
K26309,3.88
K27926,5.946
L20219,2.37
L26039,2.845
L26303,5.443
L26311,3.99
L26426,1
L27103,5.864
L27306,1.658
L28413,6.187
M24011,3.073
M27466,3.48
M27503,5.38
M29066,3.28
B22170,3.515
B26139,5.032
C22570,3.32
C23370,1.74
C26766,2.7
C26870,4.68
C27566,2.926
D23770,2.66
D26170,5.34
D27296,1
E24970,4.98
E25770,3.379
E27370,3.666
F21870,1.92
F22670,2.74
F23470,2.8
F28749,5.239
H25470,3.22
H27070,5.119
H28866,3.416
J22370,3.139
J26670,3.34
K27766,2.8
K29470,7.358
L22070,1.903
L23970,5.174
L26370,5.24
M23270,1.811
606033,1.56
606104,1.6
606111,0.66
606556,1.66
A10X,10.27
GVE370A26,15.1
NVM 1C,0.46
XC1/TM,0.517
4542,1.22
GP14,0.66
GP2,0.338
BSK1RUNNERS,0.5
BSK3RUNNERS,0.6
CCB0_BLS,0.06
CCB1_BLS,0.12
CG2_RDS,0.235
CG2_YWS,0.212
CG2BL,0.19
CG3BL,0.281
CG3RD,0.278
CG6_GRS,0.315
CG6_RDS,0.384
CG6_YWS,0.318
CG6BL,0.362
CVF1_YWS,0.102
CVF1BL,0.11
CVF2BL,0.126
CVF3_YWS,0.168
CVF3BL,0.148
CVFIGR,0.11
CVFIRED,0.1
IMSEALBL,0.19
MSC1-GYS,1
MSS1,0.398
MSU24-GYS,21.65
SH1-C,1
SH2-C,1
SK1DW_BLS,0.139
WALLET16,0.55
WSEALNO,0.18
A00801,0.28
A00805,0.285
A00809,0.1
A00810,0.08
A01202,0.06
A01865,0.08
A06691,0.08
A00626,1.64
A04092,0.68
S0810880,0.094
S0811250,0.04
A01094,8.596
A01100,8.68
A02100,8.86
A02110,1
A02111,1
PB-PO2,2.68
A06744,0.091
A06746,0.52
A06762,0.64
A06793,1.14
A06816,1.28
HL2801/G/F4,1
HL8001/G,0.272
HLHIMOP04,0.524
HLHIMOP04/R,0.08
KG/CL190/2,0.098
P9108/S,0.001
VZLTP01,1
VZWC/SET,1
A01520,12.956
A01708,12.748
A02761,9.498
K4250-300,0.1
DV-500M,0.1
JC96-05455A,0.1
99A2448,0.1
TTVS,4.345
593-10238/PY408,0.1
5347403,1.25
75072668,0.011
RM1-4426,0.1
60961-35,0.82967
8577,8.421
81223600,0.032
DMW-LZ10E,0.1
4825014,0.057
4825013,0.034
JC91-00971A,0.1
LFH3200/00,0.16
SA023A,0.1
10N1039,0.1
18C2348,0.1
10N1040,0.1
18L0969,0.1
18L1127,0.1
15M3640,0.1
18L1128,0.1
18C1540,0.1
18Y0002,0.1
18C1550,0.1
18Y0156,0.1
21074,0.1
TN611M,0.1
15M3620,0.1
18C1560,0.1
TN611Y,0.1
JC96-03611D/A/C,0.1
ML-3470A/ELS,0.1
MX31GTBA/MX26BLK,0.1
t18800,0.1
MX26CYN/MX31,0.1
M00766,0.1
Q3938-67968,0.1
B0773,0.1
B0853,1
39V3631,0.1
1199005728,0.057
2101992,0.053
40014,6.3
CE020071,1.636
1710760,59
EL331FB,0.06
EL330FB,0.14
888695,0.087
JC93-00070A,0.1
5314901,5
DQ-UHU54-PB,0.1
S041765,0.1
S041749,0.1
S042153,0.1
S041944,0.1
TN-02B,0.1
13R589/13R00589,0.1
592-10225/95,0.1
593-10290/H513C,0.1
593-10353/Y459D,0.1
DK-170,0.1
1900,4
1901,0.19
1902,5.3
1903,9.072
43006,1.282
43010,2
45-6,0.673
50-6,1.22
BROE54008,2.6
JB-S20L-060025,0.662
JL-0,1.313
JL-00,1.154
JL-000,1.166
JL-1,1.837
JL-2,2.086
JL-3,1.429
JL-4,1.511
JL-5,1.736
JL-6,2.371
JL-7,2.736
JL-AMP-1-10,0.184
JL-AMP-2-10,0.209
JL-AMP-4-10,0.303
JL-AMP-5-10,0.348
JL-AMP-7-10,0.548
JL-GO-0,1.313
JL-GO-1,1.837
JL-GO-2,2.086
JL-GO-3,1.429
JL-GO-4,1.511
JL-GO-5,1.736
JL-GO-6,2.371
JL-GO-7,2.736
JMM-GO-0,1.625
JMM-GO-1,2.285
JMM-GO-2,2.613
JMM-GO-3,1.784
JMM-GO-4,1.894
JMM-GO-5,2.177
JMM-GO-6,2.986
JMM-GO-7,3.446
JMM-WH-0,1.625
JMM-WH-00,1.421
JMM-WH-000,1.426
Jmm-WH-1,2.285
JMM-WH-2,2.613
Jmm-WH-3,1.784
JMM-WH-4,1.894
JMM-WH-5,2.177
Jmm-WH-6,2.986
JMM-WH-7,3.446
JMM-WH-MP0-10,0.12
JPB-0,9.429
JPB-00,7.994
JPB-1,7.112
JPB-2,8.574
JPB-3,9.983
JPB-4,10.607
JPB-5,12.785
JPB-6,9.04
JPB-7,10.898
JPB-8,19.996
JPB-AMP-5-10,12.785
JPB-MP-0-10,9.429
JPB-MP-1-10,7.112
JPB-MP-3-10,9.983
4471,7.45
6135,0.316
6331,1.092
6871,14.3
7928,2.12
8614,6.8
Y04440,4.415
39V0311,1
39V2513,2.7
39V2208,0.1
39V0313,0.99
39V2210,0.1
39V2211,0.1
PFA331,0.22
36055,2.3
2102247,0.82
2102248,8.12
2102063,1
RC6008SS,0.06
2101022,0.702
2101499,0.973
KX-MB2061E-B,0.1
701BKCRG,0.1
701CCRG,0.1
701DRUMCRG,0.1
701MCRG,0.1
701YCRG,0.1
703CRG,0.1
706CRG,0.1
707BKCRG,0.1
707CCRG,0.1
707MCRG,0.1
707YCRG,0.1
BCI-3EBKBL2,0.1
BCI-3EPCBL,0.1
BX-20CRG,0.1
GP-5014X6,0.1
PAK-101 5X7,0.1
PC101S,0.1
PP201 4X6,0.1
PP201 5X7,0.1
