"%s days","%s dagen"
"Access denied!","Geen toegang!"
"Thank you for your interest!","Bedankt voor uw interesse!"
"Thanks for your Quote request.","Bedankt voor uw offerte aanvraag."
"The address was successfully saved","Het adres is succesvol opgeslagen"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Er staan <a href=%s><strong>%s artikelen</strong></a> in uw offerte aanvraag."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Er staat <a href=%s><strong>1 artikel</strong></a> in uw offerte aanvraag."
"This item will be removed from the list if you continue:","Dit product wordt van de lijst verwijderd wanneer u doorgaat:"
"This item will be removed from the list if you continue:","De volgende producten zullen niet aan uw offerte worden toegevoegd als u doorgaat:"
"This order list contains items that cannot be quoted.","Uw winkelwagen bevat producten waarvoor een offerte aanvraag niet mogelijk is."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Als u een offerte aanvraag heeft voor een product moet u <a href='%s'>uitloggen</a> uit de offerte-bevestiging status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Als u voor een product een offerte wilt aanvragen <a href='%s'>schakel dan van de bestel- naar de offerte-modus.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Als u een product wilt bestellen moet u <a href='%s'>uitloggen</a> uit deze offerte modus."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Als u dit product wilt bestellen moet u <a href='%s'>overschakelen naar de bestel modus.</a>"
"TO:","Aan:"
"Unable to send email.","Kan de email niet versturen."
"Unit price","Stuksprijs"
"Unknown exception","Onbekende uitzondering"
"View Quote","Bekijk offerte"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","U kunt nu een offerte aanvraag bevestigen, <a href='%s'>log uit</a>."
"You have placed no quotes.","U heeft geen offerte aanvragen geplaatst."
"You log out successfully from Quote confirmation mode.","U bent succesvol uitgelogd uit de offerte bevestigingsmodus."
"You will receive a quote confirmation email with a link to track progress.","U ontvangt van ons een bevestigingsemail met een link om de voortgang van de offerte aanvraag te volgen"
"You're welcome to place a new Request for Quote","Vraag u gerust een nieuwe offerte aan."
"Your order list contains items that cannot be quoted.","Uw winkelwagen bevat producten waarvoor een offerte aanvraag niet mogelijk is."
"Your quote has been canceled","Uw offerte aanvraag is geannuleerd"
"Your quote has been received","We hebben uw offerte aanvraag ontvangen"
"Your quote list contains items that cannot ordered.","Uw offerte aanvraag bevat producten die niet besteld kunnen worden"
"Your quote request has been received","We hebben uw offerte aanvraag ontvangen"
"Your quote request has been submitted successfully.","Uw offerte aanvraag is succesvol verzonden."
"Your shopping cart will be changed to Quote Request if you continue.","Als u verder gaat wordt uw winkelwagen omgezet naar een offerte aanvraag."
"Zip/Postal Code","Postcode"
"Add Qty", "Staffel"
"enter your address","vul uw adres in"
"enter your city", "vul uw plaats in"
"enter your Zip", "vul uw postcode in"
"enter your state", "vul uw provincie in"
"Request a shipping quote", "Vraag een offerte voor verzendkosten aan"
"Total price", "Totaal prijs"
"Move to Shopping cart","Naar winkelwagen"
"Move to shopping cart?","Naar winkelwagen?"
"This quote list contains items that cannot ordered.","Deze offerte bevat artikelen die niet besteld kunnen worden."
"This item will be removed from the list if you continue:","Als u doorgaat wordt dit artikel verwijderd van de lijst:"
"Cancel Action","Annuleer"
"Continue Action","Doorgaan"
"Copy to Quotation","Kopieer naar offerte"
"Copy to Quotation?","Kopieer naar offerte?"
"Copy to Quotation","Kopieer naar offerte"
"Cannot update the item.","Kan het product niet bijwerken."
"Quote item is not found.","Kan het artikel niet vinden."
"Cannot configure product.","Kan het product niet aanpassen."
"Edit", "Wijzigen"
"in process...", "bezig..."
"My Quote", "Mijn Prijs Aanvraag"
"My Quote (%s items)", "Mijn Prijs Aanvraag (%s items)"
"My Quote (%s item)", "Mijn Prijs Aanvraag (%s item)"
"Your quote request # is: %s.", "Uw offerte aavraag # is: %s."
"Tier/Qty","Staffel"
"Coupon code "%s" is applied","Coupon code "%s" is toegepast"
"Coupon code "%s" could not be applied","Coupon code "%s" kon niet worden toegepast"
"Coupon code could not be applied","Coupon code kon niet worden toegepast"
"-- Select Coupon --","-- Selecteer Coupon --"
"-- Remove Coupon --","-- Verwijder Coupon --"
"Could not load Coupon Code","Coupon Code kon niet worden geladen"
"Discount (%s)","Korting (%s)"
"Subtotal Original (%s)","Origineel Subtotaal (%s)"
"Quote subtotal (%s)","Offerte subtotaal (%s)"
"Adjustment Quote (%s)","Aanpassing Offerte (%s)"
"Quote profit","Offerte winst"
"'Coupon Type \'%s\' not supported'","'Coupon Type \'%s\' wordt niet ondersteund'"
"Select Qty", "Selecteer Aantal"
