"%s days","%s Tage"
"Access denied!","Zugriff verweigert!"
"Information by Quote request avaliable by link below","Information für Preis Angebot verfübar durch diese Link"
"Item %s wasn't  moved to Shopping cart","Produkt %s ist wurde nicht in den Warenkorb gelegt"
"Item %s wasn't  removed from Quote mode","Produkt %s is nicht eliminiert von Preis Anfrage"
"Item was deleted successfully.","Produkt ist erfolgreich eliminiert."
"Item was moved to cart successfully.","Das Produkt wurde erfolgreich in den Warenkorb gelegt."
"Item was moved to quote successfully.","Das Produkt wurde erfolgreich in die Preisanfrage verschoben"
"Item(s) were moved from Quote to Order mode successfully.","Produkt(e) erfolgreich von der Preisanfrage in den Warenkorb verschoben"
"Items Quoted","angefragte Produkte"
"Last Name","Familienname"
"Log in and <a href='%s'>click on to View Quote.</a>","Einloggen und <a href='%s'>Angebot ansehen.</a>"
"My Quote list","Liste meiner Preisanfragen"
"My quote request","Meine Preisanfrage"
"My quote request (%s item)","Meine Preisanfrage (%s Item)"
"My quote request (%s items)","Meine Preisanfragen (%s Items)"
"My Quotes","Meine Preisanfragen"
"New Address","Neue Adresse"
"No item in quote.","Keine Produkte in der Preisanfrage."
"No Items to display.","Keine Produkte vorhanden."
"Order Mode","Bestellen"
"Original Price","Normaler Preis<br />zzgl. MwSt."
"Owner price","Angebotspreis<br />zzgl. MwSt."
"Please enter an valid email address","Bitte geben Sie eine gültige E-Mail Adresse ein"
"Please select region, state or province","Bitte Land\/Bundesland wählen"
"Please select required qty and check out online to see applicable price.","Die kalkulierten Versandkosten können Sie unserem Angebot entnehmen."
"Please specify product quantity.","Hier gewünschte Menge eintragen."
"Price Proposal","Angebotspreis"
"Product %s successfully added to Quote Request","Produkt %s wurde erfolgreich zur Preisanfrage hinzugefügt"
"Product %s was deleted from your shopping cart","Produkt %s wurde erfolgreich aus dem Warenkorb gelöscht"
"Product Name","Produktname"
"Proposal valid until","Angebot besteht bis"
"Proposal Valid Until: %s","Angebot besteht bis: "
"Qquote cancel email was't sent to admin for quote #%s","Anfrage-annulieren E-Mail ist nicht nach Shophouse versand für Anfrage #%s"
"Qquote proposal email was't sent to the client for quote #%s","Die Angebots E-Mail wurde nicht an den Kunden versand für Anfrage #%s"
"Qquote request email was't sent to admin for quote #%s","Preis Anfrage E-Mail ist nicht nach Shophouse versand für Anfrage #%s"
"Qty","Menge"
"QTY","Menge"
"SKU","Art.-Nr."
"Remarks with Request","Bemerkungen zur Anfrage"
"Quotation # %s","Angebot # %s"
"Quotation #%s - Proposal","Preisanfrage Nr.: %s"
"Quotation #%s was rejected","Angebot #%s ist abgelehnt"
"Quotation Date: %s","Datum der Preisanfrage: %s"
"Quote","Preisanfrage"
"Quote #","Preisanfrage Nr.: "
"Quote #%s","Angebot #%s"
"Quote List","Anfrageliste"
"Quote list was updated successfully.","Anfrage Liste ist erfolgreich aktualisiert."
"Quote mode","Anfragemodus"
"Quote Proposal","Angebotsnummer"
"Quote Request in Process, wait for price proposal Shop owner","Preisanfrage in Bearbeitung, in Kürze erhalten Sie unser Angebot"
"Quote request information","Preis Anfrage Information"
"Quote shipping proposal from owner","Versandangebot"
"Quote status","Status der Preisanfrage"
"Reject Proposal","Angebot ablehnen"
"Quote Request in Process, wait for price proposal Shop owner","Ihre Preisanfrage wird bearbeitet, in Kürze erhalten Sie Ihr persönliches Angebot"
"Remark with Proposal","Bemerkungen zum Angebot"
Remarks,Bemerkungen
"Remove","löschen"
"Remove item","Produkt löschen"
"Request for Quote","Preisanfrage"
"Request information","Anmerkungen zum Produkt"
"Request quote","Preisanfrage Senden"
"Requested information","Bemerkungen"
"Required Fields","Pflichtfeld"
"Resubmit Quote","Anfrage erneut senden"
"ship to:","Versand:"
"Shipping & Handling price per product per Unit","Versand- und Bearbeitungskosten je Produkt"
"Shipping & Handling price varies.","Versand- und Bearbeitungskosten sind abhängig von Art und Anzahl der Artikel."
"Shipping Address","Versandadresse"
"Shipping details","Versanddaten"
"Shipping Method","Versandmethode"
"State/Province","Bundesland"
"Status","Status"
"STATUS_BEGIN","Angefangen"
"STATUS_CANCELED","Angebot annuliert"
"STATUS_CONFIRMED","Angebot akzeptiert"
"STATUS_DENIED","Angebot abgelehnt"
"STATUS_PROPOSAL","Angebot geschickt"
"STATUS_PROPOSAL_EXPIRED","Angebot abgelaufen"
"STATUS_PROPOSAL_SAVED","Angebot gespeichert"
"STATUS_AUTO_PROPOSAL","Angebot geschickt"
"STATUS_REJECTED","Eliminiert"
"STATUS_REQUEST","Verarbeitung"
"STATUS_REQUEST_EXPIRED","Anfrage abgelaufen"
"Switch to Order mode","In den Bestellmodus wechseln"
"Switch to Quote mode","In den Anfragemodus wechseln"
"TAX","MwSt."
"Telephone","Telefon"
"Thank you for your interest!","Vielen Dank für Ihr Interesse!"
"Thanks for your Quote request.","Vielen Dank für Ihre Preisanfrage."
"The address was successfully saved","Die Adresse wurde erfolgreich gespeichert"
"Billing details","Adressdaten"
"Enter your billing address details.","Bitte geben Sie Ihre Adressdaten an."
"Shipping Address is same as Billing Address","Diese Adresse auch als Versandadresse nutzen."
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted via freight carrier, business to business/loading dock/curbside only.","Bitte geben Sie Ihre Versandadresse an, damit wir die Versandkosten im Angebot berücksichtigen können."
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Es sind <a href=%s><strong>%s Produkte</strong></a> in Ihrer Preisanfrage."
"There is <a href="%s">1 item</a> in your quote.","Es gibt <a href=%s><strong>1 Produkt</strong></a> in Ihrer Preisanfrage."
"This item will be removed from the list if you continue:","Dieses Produkt wird von der Liste gelöscht wenn Sie fortfahren:"
"The following item will not be added to the quotation list if you continue:","Wenn Sie fortfahren werden folgenden Produkte zur Angebotsanfrage hinzugefügt:"
"This order list contains items that cannot quoted.","In Ihrem Einkaufswagen befinden sich Produkte für die eine Preisanfrage nicht möglich ist."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>ausloggen</a> aus die Anfrage-Bestätgigung Status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>Umschalten von Bestell- nach Anfrage Umgebung.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Wann Sie ein Produkt bestellen wollen, dann sollen Sie bitte <a href='%s'>ausloggen</a> aus diese Anfrage Umgebung."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Wann Sie das Produkt bestellen wollen, dann sollen Sie bitte <a href='%s'>umschalten nach Bestell Umgebung.</a>"
"TO:","An:"
"Unable to send email.","Die E-mail kann nicht verschickt werden."
"Unit price","Stückpreis"
"Price_proposal_%s","Angebot_%s"
"Unknown exception","Unbekannte Ausnahme"
"View Quote","Anfrage ansehen"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sie können jetzt ein Anfrage bestätigen, <a href='%s'>ausloggen</a>."
"You have placed no quotes.","Sie haben keine Preisanfragen."
"You log out successfully from Quote confirmation mode.","Erfolgreich abgemeldet aus Preisanfrage bestätigungs Umgebung."
"You will receive a quote confirmation email with a link to track progress.","Sie erhalten eine Bestätigungs-Mail. Mit dem Link in dieser Mail können Sie den Status Ihrer Anfrage einsehen."
"You're welcome to place a new Request for Quote","You're welcome to place a new Request"
"Your order list contains items that cannot quoted.","In Ihrem Einkaufswagen befinden sich Produkte für die eine Preisanfrage nicht möglich ist."
"Your quote has been canceled","Ihren Preisanfrage wurde storniert"
"Your quote has been received","Wir haben Ihre Preisanfrage erhalten"
"Your quote list contains items that cannot ordered.","In Ihrer Preisanfrage befinden sich Produkte für die eine Bestellung nicht möglich ist."
"Your quote request has been received","Wir haben Ihre Preisanfrage empfangen"
"Your quote request has been submitted successfully.","Ihr Preisanfrage wurde erfolgreich verschickt."
"Your shopping cart will be changed to Quote Request if you continue.","Ihr Einkaufswagen wird in eine Preisanfrage umgewandelt wenn Sie fortfahren."
"You're welcome to place a new Request for Quote","Fragen Sie uns um ein neues Angebot"
"Zip/Postal Code","Postleitzahl"
"Add Qty", "Menge"
"enter your address", "Geben Sie Ihre Adresse ein"
"enter your city", "Stadt"
"enter your Zip", "Postleitzahl"
"enter your state", "Bundesland"
"Request a shipping quote", "Versandkosten anfordern"
"Total price", "Gesammtsumme"
"Select Qty","Status"
"Move to Shopping cart", "In den Warenkorb verschieben"
"Move to shopping cart?","Wollen Sie diese Produkte wirklich in den Warenkorb verschieben?"
"This quote list contains items that cannot ordered.", "This quote list contains items that cannot ordered."
"This item will be removed from the list if you continue:","The following item(s) will be removed from the list if you continue:"
"Cancel Action","Stornieren"
"Continue Action","weiter"
"Select in Checkout","nicht definiert"
"Copy to Quotation","Zur Angebotsanfrage hinzufügen"
"Copy to Quotation?","Zur Angebotsanfrage hinzufügen"
"Copy to Quotation","Zur Angebotsanfrage hinzufügen"
"Cannot update the item.","Cannot update the item."
"Quote item is not found.","Quote item is not found."
"Cannot configure product.","Cannot configure product."
"Edit","bearbeiten"
"in process...", "in Bearb..."
"My Quote", "Meine Preisanfrage"
"My Quote (%s items)", "Meine Preisanfrage (%s Artikel)"
"My Quote (%s item)", "Meine Preisanfrage (%s Artikel)"
"You have no items in your quote.","Sie haben keine Artikel in Ihrer Preisanfrage."
"Your quote request # is: %s.", "Ihre Preisanfrage hat die Nr.: %s."
"Tier/Qty","Menge"
"Coupon code "%s" is applied","Coupon code "%s" is applied"
"Coupon code "%s" could not be applied","Coupon code "%s" could not be applied"
"Coupon code could not be applied","Coupon code could not be applied"
"-- Select Coupon --","-- Select Coupon --"
"-- Remove Coupon --","-- Remove Coupon --"
"Could not load Coupon Code","Could not load Coupon Code"
"Discount (%s)","Discount (%s)"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Quote subtotal (%s)","Quote subtotal (%s)"
"Adjustment Quote (%s)","Adjustment Quote (%s)"
"Quote profit","Quote profit"
"'Coupon Type \'%s\' not supported'","'Coupon Type \'%s\' not supported'"
"Grand Total (incl. Tax)","Gesammtpreis inkl. MwSt."
"Grand Total (excl. Tax)","Gesammtpreis ohne MwSt."
"Subtotal (incl. tax)","Zwischensumme (inkl. MwSt.)"
